Episode,Loss
1226,17386073.111328125
1227,17216879.540527344
1228,18211413.271484375
1229,17203786.828125
1230,17903064.6015625
1231,17286833.912109375
1232,17553001.58203125
1233,17730743.568359375
1234,17967547.322265625
1235,18700885.17578125
1236,18371939.64453125
1237,19141880.19921875
1238,18548377.421875
1239,18171270.79296875
1240,17818954.791015625
1241,18479337.181640625
1242,18464137.259765625
1243,18249671.349609375
1244,18431353.185546875
1245,18196629.439453125
1246,18658693.823242188
1247,18038526.359375
1248,18271231.693359375
1249,18158324.896484375
1250,19428443.607421875
1251,18063212.0
1252,18788910.123046875
1253,18969601.341796875
1254,18796229.79296875
1255,18616790.724609375
1256,17828576.776367188
1257,17899985.453125
1258,19240537.115234375
1259,19010201.3125
1260,18994786.037109375
1261,20699865.970703125
1262,19303780.326171875
1263,18921285.615234375
1264,18046938.599609375
1265,18221884.7109375
1266,17947677.599609375
1267,18733756.962890625
1268,17556986.521484375
1269,18180795.2109375
1270,17621857.8984375
1271,17983004.58203125
1272,18610231.47265625
1273,17293512.5703125
1274,17171326.533203125
1275,17465773.30078125
1276,17151768.06640625
1277,17674076.31640625
1278,17276147.494140625
1279,17030076.380859375
1280,19390296.66015625
1281,18553696.646484375
1282,18331213.947265625
1283,18373362.7578125
1284,17588367.359375
1285,15901091.689453125
1286,16819523.8671875
1287,17084936.34765625
1288,16353718.794921875
1289,17325661.658203125
1290,16782956.525390625
1291,16297027.302734375
1292,16670523.455078125
1293,16370864.818359375
1294,15880726.564453125
1295,16559628.771484375
1296,16789287.78515625
1297,15652529.798828125
1298,16968363.58203125
1299,16375083.82421875
1300,16261668.1796875
1301,16701524.572265625
1302,16730955.31640625
1303,16545667.232421875
1304,16218074.1875
1305,16676010.765625
1306,17389043.81640625
1307,16532627.271484375
1308,17085791.041015625
1309,16811813.975585938
1310,16668612.521484375
1311,17173516.40625
1312,16408974.93359375
1313,16494103.487304688
1314,16658832.298828125
1315,16766375.236328125
1316,15155174.14453125
1317,15361352.69140625
1318,16477960.3515625
1319,16289617.111328125
1320,16846868.041015625
1321,16981768.80078125
1322,18092480.509765625
1323,18234325.4453125
1324,17661479.232421875
1325,17871226.056640625
1326,16554805.134765625
1327,16622844.482421875
1328,16713422.40625
1329,16585240.330078125
1330,16825814.07421875
1331,16580448.96484375
1332,18074113.76171875
1333,17399689.560546875
1334,17405848.35546875
1335,17664732.7734375
1336,16828981.6328125
1337,17448236.216796875
1338,17319573.650390625
1339,17562992.873046875
1340,16758990.619140625
1341,16480923.724609375
1342,16666477.921875
1343,17316703.546875
1344,18346580.013671875
1345,19822648.828125
1346,18365233.771484375
1347,19263731.72265625
1348,18860112.318359375
1349,19096273.392578125
1350,20720419.505859375
1351,19439712.71484375
1352,19916510.251953125
1353,21929015.044921875
1354,21544786.85546875
1355,21721385.38671875
1356,21442028.515625
1357,20460840.78515625
1358,21535593.8671875
1359,22034322.543945312
1360,20879640.9921875
1361,21222252.138671875
1362,21689392.529296875
1363,20676293.439453125
1364,20890364.607421875
1365,22175932.5234375
1366,23313248.318359375
1367,26208603.296875
1368,28411662.64453125
1369,30186562.34765625
1370,31493411.59765625
1371,29109400.052734375
1372,32498702.421875
1373,34848069.091796875
1374,33544619.8125
1375,34167847.94921875
1376,34788669.10546875
1377,33538652.4921875
1378,35198149.0234375
1379,33626985.21875
1380,34235814.7265625
1381,34793603.326171875
1382,33931424.60546875
1383,35692564.9296875
1384,35888905.05078125
